Variable,(1) Logit,(1) SE,(2) NL-OLS,(2) SE,(3) NL-IV,(3) SE
Log context length,0.7207,(0.1042),0.5928,(0.0986),0.7624,(0.1067)
Reasoning capability,-0.1313,(0.3524),-0.3576,(0.3241),-0.0573,(0.3476)
Tool call support,0.5540,(0.3393),1.0445,(0.3344),0.3937,(0.3555)
Model age (days),-0.0162,(0.0080),-0.0059,(0.0069),-0.0195,(0.0085)
Log price,-0.5306,(0.0760),-0.2594,(0.0771),-0.6192,(0.0936)
σ (nesting parameter),—,,0.4565,(0.0424),-0.1492,(0.0896)
N,26444,,26444,,26444,
R²,0.153,,0.368,,,
Day FE,Yes,,Yes,,Yes,
First-stage F,,,,,4960.9,
